No  Date/Time            Temperature  Rain (mm)
1   2026-05-08T00:00     16.4°C       0.00
2   2026-05-08T01:00     15.9°C       0.00
3   2026-05-08T02:00     15.2°C       0.00
4   2026-05-08T03:00     14.3°C       0.00
5   2026-05-08T04:00     13.7°C       0.00
6   2026-05-08T05:00     13.8°C       0.00
7   2026-05-08T06:00     15.2°C       0.00
8   2026-05-08T07:00     17.4°C       0.00
9   2026-05-08T08:00     19.4°C       0.00
10  2026-05-08T09:00     21.0°C       0.00
11  2026-05-08T10:00     21.8°C       0.00
12  2026-05-08T11:00     22.6°C       0.00
13  2026-05-08T12:00     23.0°C       0.00
14  2026-05-08T13:00     21.3°C       0.00
15  2026-05-08T14:00     20.7°C       0.00
16  2026-05-08T15:00     18.8°C       0.00
17  2026-05-08T16:00     18.5°C       0.00
18  2026-05-08T17:00     17.5°C       0.00
19  2026-05-08T18:00     15.7°C       0.30
20  2026-05-08T19:00     13.6°C       0.00
21  2026-05-08T20:00     11.2°C       0.00
22  2026-05-08T21:00     10.4°C       0.00
23  2026-05-08T22:00     9.8°C        0.00
24  2026-05-08T23:00     8.6°C        0.00
